PANDA -- facet enumeration with adjacency decomposition
Warning: validity of input vertices cannot be verified for reduced input.
Reduced Inequalities:
x0 -x3 +x4 -x7 +x10 -x11 +x14 -x15 +x17 -x19 +x21 -x23 +x28 -x30 +x36 -x38 +x44 -x50 +x52 -x58 +x60 -x64 +x68 -x72 +x76 <= 1
Processing #1 of at least 1 class
x0 -x3 +x4 -x7 +x8 +x12 +x17 -x19 +x21 -x23 +x28 -x30 +x36 -x38 +x44 -x46 -x54 -x64 +x68 -x72 +x76 <= 1
Processing #2 of at least 2 classes
Fourier-Motzkin Elimination step 3756 / 3450112: 5465
Fourier-Motzkin Elimination step 4196 / 2304896: 8677
Fourier-Motzkin Elimination step 3757 / 3450112: 5586
Fourier-Motzkin Elimination step 4197 / 2304896: 8868
Fourier-Motzkin Elimination step 3758 / 3450112: 5586
Fourier-Motzkin Elimination step 4198 / 2304896: 8971
Fourier-Motzkin Elimination step 3759 / 3450112: 5563
Fourier-Motzkin Elimination step 4199 / 2304896: 9253
Fourier-Motzkin Elimination step 3761 / 3450112: 5540
Fourier-Motzkin Elimination step 4200 / 2304896: 9252
Fourier-Motzkin Elimination step 3762 / 3450112: 5522
Fourier-Motzkin Elimination step 4201 / 2304896: 9213
Fourier-Motzkin Elimination step 3763 / 3450112: 5579
Fourier-Motzkin Elimination step 4202 / 2304896: 9174
Fourier-Motzkin Elimination step 4203 / 2304896: 9353
Fourier-Motzkin Elimination step 3765 / 3450112: 5583
Fourier-Motzkin Elimination step 3766 / 3450112: 5639
Fourier-Motzkin Elimination step 4204 / 2304896: 9230
Fourier-Motzkin Elimination step 3767 / 3450112: 5696
Fourier-Motzkin Elimination step 4205 / 2304896: 9350
Fourier-Motzkin Elimination step 3768 / 3450112: 5768
Fourier-Motzkin Elimination step 4206 / 2304896: 9272
Fourier-Motzkin Elimination step 3769 / 3450112: 6038
Fourier-Motzkin Elimination step 4207 / 2304896: 9182
Fourier-Motzkin Elimination step 3770 / 3450112: 5669
Fourier-Motzkin Elimination step 4208 / 2304896: 9153
Fourier-Motzkin Elimination step 3771 / 3450112: 5661
Fourier-Motzkin Elimination step 4209 / 2304896: 9184
Fourier-Motzkin Elimination step 3772 / 3450112: 5646
Fourier-Motzkin Elimination step 3773 / 3450112: 5703
Fourier-Motzkin Elimination step 4210 / 2304896: 9080
Fourier-Motzkin Elimination step 3774 / 3450112: 5630
Fourier-Motzkin Elimination step 4211 / 2304896: 9132
Fourier-Motzkin Elimination step 3775 / 3450112: 5650
Fourier-Motzkin Elimination step 4212 / 2304896: 9120
Fourier-Motzkin Elimination step 3776 / 3450112: 5653
Fourier-Motzkin Elimination step 4213 / 2304896: 9169
Fourier-Motzkin Elimination step 3777 / 3450112: 5741
Fourier-Motzkin Elimination step 3778 / 3450112: 5631
Fourier-Motzkin Elimination step 4214 / 2304896: 9197
Fourier-Motzkin Elimination step 3779 / 3450112: 5687
Fourier-Motzkin Elimination step 4215 / 2304896: 9201
Fourier-Motzkin Elimination step 3780 / 3450112: 5734
Fourier-Motzkin Elimination step 4216 / 2304896: 9220
Fourier-Motzkin Elimination step 3781 / 3450112: 5866
Fourier-Motzkin Elimination step 4217 / 2304896: 9568
Fourier-Motzkin Elimination step 3782 / 3450112: 5788
Fourier-Motzkin Elimination step 3783 / 3450112: 5742
Fourier-Motzkin Elimination step 4218 / 2304896: 8952
Fourier-Motzkin Elimination step 3784 / 3450112: 5698
Fourier-Motzkin Elimination step 4219 / 2304896: 8962
Fourier-Motzkin Elimination step 3785 / 3450112: 5728
Fourier-Motzkin Elimination step 4220 / 2304896: 8924
Fourier-Motzkin Elimination step 3786 / 3450112: 5556
Fourier-Motzkin Elimination step 3787 / 3450112: 5504
Fourier-Motzkin Elimination step 4221 / 2304896: 9052
Fourier-Motzkin Elimination step 3788 / 3450112: 5493
Fourier-Motzkin Elimination step 4222 / 2304896: 8928
Fourier-Motzkin Elimination step 3789 / 3450112: 5544
Fourier-Motzkin Elimination step 4223 / 2304896: 8876
Fourier-Motzkin Elimination step 3790 / 3450112: 5452
Fourier-Motzkin Elimination step 4224 / 2304896: 8851
Fourier-Motzkin Elimination step 3791 / 3450112: 5435
Fourier-Motzkin Elimination step 4225 / 2304896: 8994
Fourier-Motzkin Elimination step 3793 / 3450112: 5450
Fourier-Motzkin Elimination step 4226 / 2304896: 8773
Fourier-Motzkin Elimination step 3794 / 3450112: 5482
Fourier-Motzkin Elimination step 3795 / 3450112: 5395
Fourier-Motzkin Elimination step 4227 / 2304896: 8790
Fourier-Motzkin Elimination step 3796 / 3450112: 5400
Fourier-Motzkin Elimination step 4228 / 2304896: 8857
Fourier-Motzkin Elimination step 3797 / 3450112: 5460
Fourier-Motzkin Elimination step 4229 / 2304896: 9092
Fourier-Motzkin Elimination step 3798 / 3450112: 5308
Fourier-Motzkin Elimination step 4230 / 2304896: 8932
Fourier-Motzkin Elimination step 3799 / 3450112: 5262
Fourier-Motzkin Elimination step 3800 / 3450112: 5257
Fourier-Motzkin Elimination step 4231 / 2304896: 8876
Fourier-Motzkin Elimination step 3801 / 3450112: 5352
Fourier-Motzkin Elimination step 4232 / 2304896: 8820
Fourier-Motzkin Elimination step 3802 / 3450112: 5222
Fourier-Motzkin Elimination step 4233 / 2304896: 8895
Fourier-Motzkin Elimination step 3803 / 3450112: 5279
Fourier-Motzkin Elimination step 4234 / 2304896: 8614
Fourier-Motzkin Elimination step 3804 / 3450112: 5245
Fourier-Motzkin Elimination step 3805 / 3450112: 5291
Fourier-Motzkin Elimination step 4235 / 2304896: 8547
Fourier-Motzkin Elimination step 3806 / 3450112: 5237
Fourier-Motzkin Elimination step 4236 / 2304896: 8524
Fourier-Motzkin Elimination step 3807 / 3450112: 5330
Fourier-Motzkin Elimination step 4237 / 2304896: 8636
Fourier-Motzkin Elimination step 3809 / 3450112: 5412
Fourier-Motzkin Elimination step 4238 / 2304896: 8488
Fourier-Motzkin Elimination step 3810 / 3450112: 5393
Fourier-Motzkin Elimination step 4239 / 2304896: 8425
Fourier-Motzkin Elimination step 3811 / 3450112: 5287
Fourier-Motzkin Elimination step 4240 / 2304896: 8362
Fourier-Motzkin Elimination step 4241 / 2304896: 8408
Fourier-Motzkin Elimination step 3812 / 3450112: 5288
Fourier-Motzkin Elimination step 4242 / 2304896: 8454
Fourier-Motzkin Elimination step 3813 / 3450112: 5417
Fourier-Motzkin Elimination step 4243 / 2304896: 8336
Fourier-Motzkin Elimination step 3814 / 3450112: 5109
Fourier-Motzkin Elimination step 3815 / 3450112: 5117
Fourier-Motzkin Elimination step 4244 / 2304896: 8341
Fourier-Motzkin Elimination step 3816 / 3450112: 5083
Fourier-Motzkin Elimination step 4245 / 2304896: 8467
Fourier-Motzkin Elimination step 3817 / 3450112: 5158
Fourier-Motzkin Elimination step 4246 / 2304896: 8226
Fourier-Motzkin Elimination step 3818 / 3450112: 5064
Fourier-Motzkin Elimination step 4247 / 2304896: 8196
Fourier-Motzkin Elimination step 3819 / 3450112: 5055
Fourier-Motzkin Elimination step 4248 / 2304896: 8050
Fourier-Motzkin Elimination step 3820 / 3450112: 5046
Fourier-Motzkin Elimination step 4249 / 2304896: 8124
Fourier-Motzkin Elimination step 4250 / 2304896: 7911
Fourier-Motzkin Elimination step 3823 / 3450112: 5035
Fourier-Motzkin Elimination step 4251 / 2304896: 7809
Fourier-Motzkin Elimination step 3825 / 3450112: 5117
Fourier-Motzkin Elimination step 4252 / 2304896: 7755
Fourier-Motzkin Elimination step 3826 / 3450112: 4865
Fourier-Motzkin Elimination step 4253 / 2304896: 7850
Fourier-Motzkin Elimination step 4254 / 2304896: 7635
Fourier-Motzkin Elimination step 4255 / 2304896: 7612
Fourier-Motzkin Elimination step 4256 / 2304896: 7633
Fourier-Motzkin Elimination step 4257 / 2304896: 7799
Fourier-Motzkin Elimination step 4258 / 2304896: 7661
Fourier-Motzkin Elimination step 4259 / 2304896: 7530
Fourier-Motzkin Elimination step 4260 / 2304896: 7422
Fourier-Motzkin Elimination step 4261 / 2304896: 7537
Fourier-Motzkin Elimination step 4262 / 2304896: 7052
Fourier-Motzkin Elimination step 4263 / 2304896: 6943
Fourier-Motzkin Elimination step 4264 / 2304896: 6837
Fourier-Motzkin Elimination step 4265 / 2304896: 6941
Fourier-Motzkin Elimination step 4266 / 2304896: 6740
Fourier-Motzkin Elimination step 4269 / 2304896: 6720
Fourier-Motzkin Elimination step 4270 / 2304896: 6792
Fourier-Motzkin Elimination step 4271 / 2304896: 6555
Fourier-Motzkin Elimination step 4274 / 2304896: 6224
Fourier-Motzkin Elimination step 3959 / 3450112: 4731
Fourier-Motzkin Elimination step 3960 / 3450112: 4786
Fourier-Motzkin Elimination step 3961 / 3450112: 4952
Fourier-Motzkin Elimination step 3962 / 3450112: 5118
Fourier-Motzkin Elimination step 3963 / 3450112: 5188
